Sentence Pair,LSA score,xLSA score
1,1,0.35
2,1,0.33
3,1,0.38
4,1,0.37
5,1,0.42
6,1,0.44
7,1,0.47
8,1,0.33
9,1,0.3
10,1,0.38
11,1,0.33
12,1,0.33
13,1,0.34
14,1,0.36
15,1,0
16,1,0.33
17,1,0.4
18,1,0.55
19,1,0.33
20,1,0.34
21,0.59,0.55
22,0.83,0.85
23,0.95,0.99
24,0.11,0.1
25,0.8,0.9
26,1,1
27,1,1
28,1,1
29,0.85,0.85
30,1,1
31,0.62,0.78
32,0.94,0.95
33,0.8,1
34,0.99,1
35,0.83,0.81
36,0.7,0.77
37,0.42,0.6
38,0.54,0.57
39,0.5,0.45
40,0.73,0.75
41,0.99,1
42,0.63,0.76
43,0.7,0.73
44,0.65,0.78
45,0.96,0.98
46,0.96,1
47,0.91,1
48,0.9,1
49,0.9,1
50,0.9,1
51,0.92,1
52,0.93,1
53,0.92,1
54,0.88,1
55,0.94,1
56,0.96,1
57,0.91,1
58,0.64,0.74
59,0.67,0.82
60,0.7,0.83
61,1,1
62,1,0.9
63,1,1
64,1,0.92
65,1,1
66,0.99,0.91
67,0.97,1
68,1,1
69,0.98,0.91
70,0.89,0.78
71,1,0.4
72,1,0.55
73,1,0.33
74,1,0.34
75,1,0.47
76,1,0.33
77,1,0.55
78,1,0.6
79,1,0.57
80,1,0.45
81,1,0.34
82,1,0.36
83,1,0.33
84,1,0.33
85,1,0.4
86,1,0.55
87,1,0.33
88,1,0.34
89,0.59,0.55
90,0.83,0.85
91,0.95,0.99
92,0.33,0.25
93,0.8,0.9
94,1,1
95,1,0.8
96,1,1
97,0.85,0.85
98,1,1
99,0.63,0.76
100,1,0.45
